"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",0,"warmup",45,7,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",1,"normal",65,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",2,"normal",65,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Incline Chest Press (Machine)",,"",3,"normal",70,7,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Row (Machine)",,"",0,"normal",65,13,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Row (Machine)",,"",1,"normal",70,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Shoulder Press (Machine)",,"",0,"normal",55,9,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Seated Shoulder Press (Machine)",,"",1,"normal",55,6,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Chest Press (Machine)",,"",0,"normal",80,4,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Chest Press (Machine)",,"",1,"normal",75,5,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",0,"normal",55,14,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",1,"normal",60,12,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Crunch (Machine)",,"",2,"normal",60,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",0,"normal",50,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",1,"normal",50,8,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Lateral Raise (Machine)",,"",2,"normal",45,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",0,"normal",40,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",1,"normal",35,11,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Preacher Curl (Machine)",,"",2,"normal",30,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",0,"normal",35,11,,,6
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",1,"normal",40,10,,,
"Upper body push-ish","31 Jan 2024, 14:52","31 Jan 2024, 16:30","","Triceps Extension (Machine)",,"",2,"normal",35,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",0,"normal",100,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",1,"normal",100,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",2,"normal",100,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Lat Pulldown (Machine)",,"",3,"normal",95,9,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",0,"normal",40,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",1,"normal",40,8,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Rear Delt Reverse Fly (Machine)",,"Partials",2,"normal",35,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Leg Press Horizontal (Machine)",,"",0,"warmup",85,7,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Leg Press Horizontal (Machine)",,"",1,"normal",133,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Triceps Extension (Cable)",,"",0,"normal",40,11,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Triceps Extension (Cable)",,"",1,"normal",40,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Shoulder Press (Dumbbell)",,"",0,"normal",20,10,,,
"Upper body pull-ish","29 Jan 2024, 15:46","29 Jan 2024, 16:51","","Incline Bench Press (Dumbbell)",,"",0,"normal",20,10,,,
